,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
Human,0.07958554878192112,0.039933284562245965,0.04913382291832983,0.08486018923039937,0.05576655441199509,0.1379205696355429
Technology,0.09710853527699678,0.024320689943691225,0.05157730967486617,0.06407394481523047,0.05817554192932785,0.027705089177292093
Collaborative Workspace,0.1804724108273946,0.009236185708083334,0.013671591853797472,0.01801537076804516,0.035350475521162786,0.036228150709143626
Enterprise,0.0637007368617017,0.03708501602290324,0.06868796446160319,0.07955733576551256,0.04980486510104279,0.06687891680758191
External,0.0,0.0,0.0,0.0,0.0,0.0
