,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
0,0.2,0.25,0.5,0.3333,1.0,0.5
1,2.0,0.25,0.3333,1.0,0.5,3.0
2,1.0,2.0,3.0,4.0,1.0,4.0
3,0.5,0.3333,2.0,0.25,2.0,3.0
4,4.0,3.0,0.5,5.0,0.3333,2.0
5,2.0,2.0,3.0,0.5,1.0,0.5
6,8.0,2.0,0.1429,1.0,0.3333,1.0
7,5.0,4.0,2.0,1.0,2.0,3.0
8,0.1667,2.0,0.3333,0.5,1.0,1.0
9,1.0,0.5,2.0,1.0,1.0,0.5
10,1.0,1.0,0.3333,0.3333,2.0,0.3333
11,1.0,2.0,0.25,0.3333,1.0,1.0
