,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
0,0.1111,2.0,2.0,1.0,1,0.25
1,0.25,2.0,3.0,3.0,3,0.5
2,0.3333,4.0,4.0,1.0,2,0.5
3,0.5,3.0,3.0,3.0,1,0.5
4,1.0,2.0,2.0,0.5,1,3.0
5,5.0,2.0,2.0,2.0,3,4.0
6,6.0,3.0,2.0,2.0,2,5.0
7,1.0,2.0,0.5,1.0,2,2.0
8,1.0,1.0,2.0,3.0,2,2.0
9,4.0,0.5,2.0,3.0,1,2.0
