,3,5,9,17
Dimensions,0.034500776191738525,0.06719962702589966,0.10631693276854559,0.07170131568673388
Human,-0.08757730127788621,-0.08735390126969067,-0.08281534092292997,-0.06696191452415379
Technology,-0.01863955458726685,-0.04688157916898272,-0.0798478075776925,-0.1077754162238751
Collaborative Workspace,-0.030926349690651778,-0.030926349690651778,-0.031139601139601236,-0.07485849422346291
Enterprise,0.28710321096247415,0.26628123632064293,0.2516028747503749,0.25579027907459284
External,0.0,0.0,0.0,0.0
